Datetime;Ticker;superior_POI;superior_POI_price;TF;pine_code
2020-12-20 23:00:00+00:00;AUDJPY;higher_low;77.69172;H12;plot(77.69172, color=color.new(color.green, 30), linewidth=2)
2020-11-09 11:00:00+00:00;AUDJPY;lower_high;77.00722;H12;plot(77.00722, color=color.new(color.green, 30), linewidth=2)
2020-10-29 23:00:00+00:00;AUDJPY;higher_low;73.20109;H12;plot(73.20109, color=color.new(color.green, 30), linewidth=2)
2020-08-31 12:00:00+01:00;AUDJPY;higher_high;78.42034;H12;plot(78.42034, color=color.new(color.green, 30), linewidth=2)
2020-03-18 23:00:00+00:00;AUDJPY;lower_low;60.54511;H12;plot(60.54511, color=color.new(color.green, 30), linewidth=2)
2020-02-19 11:00:00+00:00;AUDJPY;lower_high;74.44702;H12;plot(74.44702, color=color.new(color.green, 30), linewidth=2)
2020-01-31 11:00:00+00:00;AUDJPY;lower_low;72.37015;H12;plot(72.37015, color=color.new(color.green, 30), linewidth=2)
2019-12-27 11:00:00+00:00;AUDJPY;higher_high;76.53318;H12;plot(76.53318, color=color.new(color.green, 30), linewidth=2)
2019-11-14 11:00:00+00:00;AUDJPY;higher_low;73.42007;H12;plot(73.42007, color=color.new(color.green, 30), linewidth=2)
2019-11-07 11:00:00+00:00;AUDJPY;higher_high;75.58311;H12;plot(75.58311, color=color.new(color.green, 30), linewidth=2)
2019-10-02 12:00:00+01:00;AUDJPY;higher_low;71.7462;H12;plot(71.7462, color=color.new(color.green, 30), linewidth=2)
2019-09-13 12:00:00+01:00;AUDJPY;lower_high;74.46002;H12;plot(74.46002, color=color.new(color.green, 30), linewidth=2)
2019-08-26 00:00:00+01:00;AUDJPY;lower_low;70.30631;H12;plot(70.30631, color=color.new(color.green, 30), linewidth=2)
2019-07-22 12:00:00+01:00;AUDJPY;lower_high;76.11415;H12;plot(76.11415, color=color.new(color.green, 30), linewidth=2)
2019-06-18 00:00:00+01:00;AUDJPY;;73.98002;H12;plot(73.98002, color=color.new(color.green, 30), linewidth=2)
2019-04-17 00:00:00+01:00;AUDJPY;;80.62351;H12;plot(80.62351, color=color.new(color.green, 30), linewidth=2)
2012-07-25;AUDNZD;lower_high;1.30791;D1;plot(1.30791, color=color.new(color.green, 20), linewidth=2)
2012-04-13;AUDNZD;higher_low;1.2513;D1;plot(1.2513, color=color.new(color.green, 20), linewidth=2)
2011-12-14;AUDNZD;lower_high;1.32731;D1;plot(1.32731, color=color.new(color.green, 20), linewidth=2)
2011-08-10;AUDNZD;lower_low;1.2314;D1;plot(1.2314, color=color.new(color.green, 20), linewidth=2)
2011-05-04;AUDNZD;lower_high;1.36971;D1;plot(1.36971, color=color.new(color.green, 20), linewidth=2)
2011-04-14;AUDNZD;higher_low;1.32419;D1;plot(1.32419, color=color.new(color.green, 20), linewidth=2)
2011-03-07;AUDNZD;higher_high;1.37891;D1;plot(1.37891, color=color.new(color.green, 20), linewidth=2)
2010-11-19;AUDNZD;higher_low;1.2644;D1;plot(1.2644, color=color.new(color.green, 20), linewidth=2)
2010-10-25;AUDNZD;higher_high;1.32151;D1;plot(1.32151, color=color.new(color.green, 20), linewidth=2)
2010-07-15;AUDNZD;lower_low;1.2094;D1;plot(1.2094, color=color.new(color.green, 20), linewidth=2)
2010-06-16;AUDNZD;lower_high;1.2445;D1;plot(1.2445, color=color.new(color.green, 20), linewidth=2)
2010-05-20;AUDNZD;lower_low;1.21238;D1;plot(1.21238, color=color.new(color.green, 20), linewidth=2)
2010-04-06;AUDNZD;higher_high;1.32289;D1;plot(1.32289, color=color.new(color.green, 20), linewidth=2)
2009-12-31;AUDNZD;higher_low;1.232;D1;plot(1.232, color=color.new(color.green, 20), linewidth=2)
2009-12-03;AUDNZD;higher_high;1.284;D1;plot(1.284, color=color.new(color.green, 20), linewidth=2)
2009-10-05;AUDNZD;lower_low;1.2001;D1;plot(1.2001, color=color.new(color.green, 20), linewidth=2)
2009-09-08;AUDNZD;lower_high;1.2394;D1;plot(1.2394, color=color.new(color.green, 20), linewidth=2)
2009-08-26;AUDNZD;lower_low;1.2134;D1;plot(1.2134, color=color.new(color.green, 20), linewidth=2)
2009-07-30;AUDNZD;lower_high;1.265;D1;plot(1.265, color=color.new(color.green, 20), linewidth=2)
2009-07-03;AUDNZD;higher_low;1.2301;D1;plot(1.2301, color=color.new(color.green, 20), linewidth=2)
2009-04-30;AUDNZD;lower_high;1.2929;D1;plot(1.2929, color=color.new(color.green, 20), linewidth=2)
2009-04-06;AUDNZD;higher_low;1.2025;D1;plot(1.2025, color=color.new(color.green, 20), linewidth=2)
2009-03-03;AUDNZD;lower_high;1.2937;D1;plot(1.2937, color=color.new(color.green, 20), linewidth=2)
2008-10-10;AUDNZD;lower_low;1.06041;D1;plot(1.06041, color=color.new(color.green, 20), linewidth=2)
2008-07-24;AUDNZD;higher_high;1.2958;D1;plot(1.2958, color=color.new(color.green, 20), linewidth=2)
2007-12-14;AUDNZD;higher_low;1.11491;D1;plot(1.11491, color=color.new(color.green, 20), linewidth=2)
2007-10-31;AUDNZD;higher_high;1.2082;D1;plot(1.2082, color=color.new(color.green, 20), linewidth=2)
2007-07-06;AUDNZD;lower_low;1.08141;D1;plot(1.08141, color=color.new(color.green, 20), linewidth=2)
2007-05-10;AUDNZD;lower_high;1.13789;D1;plot(1.13789, color=color.new(color.green, 20), linewidth=2)
2007-04-24;AUDNZD;higher_low;1.11141;D1;plot(1.11141, color=color.new(color.green, 20), linewidth=2)
2007-03-05;AUDNZD;lower_high;1.14719;D1;plot(1.14719, color=color.new(color.green, 20), linewidth=2)
2007-01-29;AUDNZD;lower_low;1.10531;D1;plot(1.10531, color=color.new(color.green, 20), linewidth=2)
2006-10-26;AUDNZD;lower_high;1.16569;D1;plot(1.16569, color=color.new(color.green, 20), linewidth=2)
2006-10-05;AUDNZD;higher_low;1.12071;D1;plot(1.12071, color=color.new(color.green, 20), linewidth=2)
2006-08-02;AUDNZD;higher_high;1.2448;D1;plot(1.2448, color=color.new(color.green, 20), linewidth=2)
2006-07-07;AUDNZD;higher_low;1.11041;D1;plot(1.11041, color=color.new(color.green, 20), linewidth=2)
2006-05-10;AUDNZD;higher_high;1.2417;D1;plot(1.2417, color=color.new(color.green, 20), linewidth=2)
2005-12-05;AUDNZD;lower_low;1.04262;D1;plot(1.04262, color=color.new(color.green, 20), linewidth=2)
2005-10-03;AUDNZD;lower_high;1.10329;D1;plot(1.10329, color=color.new(color.green, 20), linewidth=2)
2005-08-19;AUDNZD;higher_low;1.07701;D1;plot(1.07701, color=color.new(color.green, 20), linewidth=2)
2005-07-20;AUDNZD;higher_high;1.11929;D1;plot(1.11929, color=color.new(color.green, 20), linewidth=2)
2005-05-06;AUDNZD;lower_low;1.05401;D1;plot(1.05401, color=color.new(color.green, 20), linewidth=2)
2005-02-10;AUDNZD;lower_high;1.10379;D1;plot(1.10379, color=color.new(color.green, 20), linewidth=2)
2004-12-08;AUDNZD;higher_low;1.05611;D1;plot(1.05611, color=color.new(color.green, 20), linewidth=2)
2004-11-10;AUDNZD;lower_high;1.11349;D1;plot(1.11349, color=color.new(color.green, 20), linewidth=2)
2004-09-09;AUDNZD;lower_low;1.05281;D1;plot(1.05281, color=color.new(color.green, 20), linewidth=2)
2004-07-20;AUDNZD;lower_high;1.12109;D1;plot(1.12109, color=color.new(color.green, 20), linewidth=2)
2004-06-17;AUDNZD;lower_low;1.08891;D1;plot(1.08891, color=color.new(color.green, 20), linewidth=2)
2004-04-21;AUDNZD;higher_high;1.1771;D1;plot(1.1771, color=color.new(color.green, 20), linewidth=2)
2004-02-05;AUDNZD;;1.10711;D1;plot(1.10711, color=color.new(color.green, 20), linewidth=2)
2004-01-20;AUDNZD;;1.15689;D1;plot(1.15689, color=color.new(color.green, 20), linewidth=2)
2020-01-27 03:00:00+00:00;AUDNZD;lower_high;1.03581;H1;plot(1.03581, color=color.new(color.green, 60), linewidth=1)
2020-01-16 22:00:00+00:00;AUDNZD;higher_low;1.035;H1;plot(1.035, color=color.new(color.green, 60), linewidth=1)
2020-01-15 16:00:00+00:00;AUDNZD;higher_high;1.04599;H1;plot(1.04599, color=color.new(color.green, 60), linewidth=1)
2020-01-08 22:00:00+00:00;AUDNZD;lower_low;1.0304;H1;plot(1.0304, color=color.new(color.green, 60), linewidth=1)
2020-01-08 01:00:00+00:00;AUDNZD;lower_high;1.03619;H1;plot(1.03619, color=color.new(color.green, 60), linewidth=1)
2020-01-02 22:00:00+00:00;AUDNZD;higher_low;1.03988;H1;plot(1.03988, color=color.new(color.green, 60), linewidth=1)
2020-01-02 12:00:00+00:00;AUDNZD;higher_high;1.045;H1;plot(1.045, color=color.new(color.green, 60), linewidth=1)
2020-01-01 18:00:00+00:00;AUDNZD;lower_low;1.03748;H1;plot(1.03748, color=color.new(color.green, 60), linewidth=1)
2019-12-25 02:00:00+00:00;AUDNZD;lower_high;1.04468;H1;plot(1.04468, color=color.new(color.green, 60), linewidth=1)
2019-12-24 21:00:00+00:00;AUDNZD;higher_low;1.03925;H1;plot(1.03925, color=color.new(color.green, 60), linewidth=1)
2019-12-23 11:00:00+00:00;AUDNZD;lower_high;1.04665;H1;plot(1.04665, color=color.new(color.green, 60), linewidth=1)
2019-12-18 21:00:00+00:00;AUDNZD;lower_low;1.03629;H1;plot(1.03629, color=color.new(color.green, 60), linewidth=1)
2019-12-12 22:00:00+00:00;AUDNZD;higher_high;1.04869;H1;plot(1.04869, color=color.new(color.green, 60), linewidth=1)
2019-12-10 22:00:00+00:00;AUDNZD;lower_low;1.03737;H1;plot(1.03737, color=color.new(color.green, 60), linewidth=1)
2019-12-09 22:00:00+00:00;AUDNZD;lower_high;1.04321;H1;plot(1.04321, color=color.new(color.green, 60), linewidth=1)
2019-12-06 21:00:00+00:00;AUDNZD;lower_low;1.0398;H1;plot(1.0398, color=color.new(color.green, 60), linewidth=1)
2019-11-27 14:00:00+00:00;AUDNZD;lower_high;1.05704;H1;plot(1.05704, color=color.new(color.green, 60), linewidth=1)
2019-11-25 21:00:00+00:00;AUDNZD;lower_low;1.05365;H1;plot(1.05365, color=color.new(color.green, 60), linewidth=1)
2019-11-18 02:00:00+00:00;AUDNZD;lower_high;1.06581;H1;plot(1.06581, color=color.new(color.green, 60), linewidth=1)
2019-11-14 12:00:00+00:00;AUDNZD;lower_low;1.06004;H1;plot(1.06004, color=color.new(color.green, 60), linewidth=1)
2019-11-07 17:00:00+00:00;AUDNZD;higher_high;1.08665;H1;plot(1.08665, color=color.new(color.green, 60), linewidth=1)
2019-11-04 08:00:00+00:00;AUDNZD;higher_low;1.07022;H1;plot(1.07022, color=color.new(color.green, 60), linewidth=1)
2019-10-30 08:00:00+00:00;AUDNZD;higher_high;1.08258;H1;plot(1.08258, color=color.new(color.green, 60), linewidth=1)
2019-10-23 22:00:00+01:00;AUDNZD;lower_low;1.06527;H1;plot(1.06527, color=color.new(color.green, 60), linewidth=1)
2019-10-21 16:00:00+01:00;AUDNZD;lower_high;1.07491;H1;plot(1.07491, color=color.new(color.green, 60), linewidth=1)
2019-10-18 05:00:00+01:00;AUDNZD;higher_low;1.07108;H1;plot(1.07108, color=color.new(color.green, 60), linewidth=1)
2019-10-17 02:00:00+01:00;AUDNZD;higher_high;1.07942;H1;plot(1.07942, color=color.new(color.green, 60), linewidth=1)
2019-10-15 22:00:00+01:00;AUDNZD;higher_low;1.0673;H1;plot(1.0673, color=color.new(color.green, 60), linewidth=1)
2019-10-15 13:00:00+01:00;AUDNZD;higher_high;1.07821;H1;plot(1.07821, color=color.new(color.green, 60), linewidth=1)
2019-10-09 10:00:00+01:00;AUDNZD;lower_low;1.06606;H1;plot(1.06606, color=color.new(color.green, 60), linewidth=1)
2019-10-04 19:00:00+01:00;AUDNZD;lower_high;1.07249;H1;plot(1.07249, color=color.new(color.green, 60), linewidth=1)
2019-10-04 09:00:00+01:00;AUDNZD;lower_low;1.06689;H1;plot(1.06689, color=color.new(color.green, 60), linewidth=1)
2019-10-01 05:00:00+01:00;AUDNZD;lower_high;1.08063;H1;plot(1.08063, color=color.new(color.green, 60), linewidth=1)
2019-09-25 04:00:00+01:00;AUDNZD;lower_low;1.06979;H1;plot(1.06979, color=color.new(color.green, 60), linewidth=1)
2019-09-20 12:00:00+01:00;AUDNZD;higher_high;1.08403;H1;plot(1.08403, color=color.new(color.green, 60), linewidth=1)
2019-09-19 04:00:00+01:00;AUDNZD;higher_low;1.07427;H1;plot(1.07427, color=color.new(color.green, 60), linewidth=1)
2019-09-16 19:00:00+01:00;AUDNZD;higher_high;1.08301;H1;plot(1.08301, color=color.new(color.green, 60), linewidth=1)
2019-09-10 03:00:00+01:00;AUDNZD;higher_low;1.06391;H1;plot(1.06391, color=color.new(color.green, 60), linewidth=1)
2019-09-09 15:00:00+01:00;AUDNZD;lower_high;1.06946;H1;plot(1.06946, color=color.new(color.green, 60), linewidth=1)
2019-09-09 02:00:00+01:00;AUDNZD;higher_low;1.06272;H1;plot(1.06272, color=color.new(color.green, 60), linewidth=1)
2019-09-03 13:00:00+01:00;AUDNZD;higher_high;1.071;H1;plot(1.071, color=color.new(color.green, 60), linewidth=1)
2019-08-30 21:00:00+01:00;AUDNZD;higher_low;1.06261;H1;plot(1.06261, color=color.new(color.green, 60), linewidth=1)
2019-08-30 19:00:00+01:00;AUDNZD;higher_high;1.06945;H1;plot(1.06945, color=color.new(color.green, 60), linewidth=1)
2019-08-23 21:00:00+01:00;AUDNZD;lower_low;1.05149;H1;plot(1.05149, color=color.new(color.green, 60), linewidth=1)
2019-08-22 20:00:00+01:00;AUDNZD;higher_high;1.06174;H1;plot(1.06174, color=color.new(color.green, 60), linewidth=1)
2019-08-19 22:00:00+01:00;AUDNZD;higher_low;1.05261;H1;plot(1.05261, color=color.new(color.green, 60), linewidth=1)
2019-08-19 02:00:00+01:00;AUDNZD;higher_high;1.05704;H1;plot(1.05704, color=color.new(color.green, 60), linewidth=1)
2019-08-15 22:00:00+01:00;AUDNZD;higher_low;1.04689;H1;plot(1.04689, color=color.new(color.green, 60), linewidth=1)
2019-08-13 15:00:00+01:00;AUDNZD;higher_high;1.05458;H1;plot(1.05458, color=color.new(color.green, 60), linewidth=1)
2019-08-12 16:00:00+01:00;AUDNZD;higher_low;1.04477;H1;plot(1.04477, color=color.new(color.green, 60), linewidth=1)
2019-08-08 13:00:00+01:00;AUDNZD;higher_high;1.05222;H1;plot(1.05222, color=color.new(color.green, 60), linewidth=1)
2019-08-05 23:00:00+01:00;AUDNZD;lower_low;1.02593;H1;plot(1.02593, color=color.new(color.green, 60), linewidth=1)
2019-08-05 01:00:00+01:00;AUDNZD;lower_high;1.04294;H1;plot(1.04294, color=color.new(color.green, 60), linewidth=1)
2019-08-01 22:00:00+01:00;AUDNZD;lower_low;1.03282;H1;plot(1.03282, color=color.new(color.green, 60), linewidth=1)
2019-07-31 05:00:00+01:00;AUDNZD;higher_high;1.0458;H1;plot(1.0458, color=color.new(color.green, 60), linewidth=1)
2019-07-30 22:00:00+01:00;AUDNZD;lower_low;1.03764;H1;plot(1.03764, color=color.new(color.green, 60), linewidth=1)
2019-07-26 01:00:00+01:00;AUDNZD;lower_high;1.04414;H1;plot(1.04414, color=color.new(color.green, 60), linewidth=1)
2019-07-25 04:00:00+01:00;AUDNZD;higher_low;1.03942;H1;plot(1.03942, color=color.new(color.green, 60), linewidth=1)
2019-07-23 23:00:00+01:00;AUDNZD;higher_high;1.04554;H1;plot(1.04554, color=color.new(color.green, 60), linewidth=1)
2019-07-22 08:00:00+01:00;AUDNZD;lower_low;1.03811;H1;plot(1.03811, color=color.new(color.green, 60), linewidth=1)
2019-07-18 13:00:00+01:00;AUDNZD;lower_high;1.04466;H1;plot(1.04466, color=color.new(color.green, 60), linewidth=1)
2019-07-18 02:00:00+01:00;AUDNZD;lower_low;1.03979;H1;plot(1.03979, color=color.new(color.green, 60), linewidth=1)
2019-07-12 19:00:00+01:00;AUDNZD;lower_high;1.0493;H1;plot(1.0493, color=color.new(color.green, 60), linewidth=1)
2019-07-11 13:00:00+01:00;AUDNZD;higher_low;1.04399;H1;plot(1.04399, color=color.new(color.green, 60), linewidth=1)
2019-07-05 14:00:00+01:00;AUDNZD;higher_high;1.05454;H1;plot(1.05454, color=color.new(color.green, 60), linewidth=1)
2019-07-01 22:00:00+01:00;AUDNZD;lower_low;1.04169;H1;plot(1.04169, color=color.new(color.green, 60), linewidth=1)
2019-06-26 03:00:00+01:00;AUDNZD;lower_high;1.05414;H1;plot(1.05414, color=color.new(color.green, 60), linewidth=1)
2019-06-25 05:00:00+01:00;AUDNZD;lower_low;1.04585;H1;plot(1.04585, color=color.new(color.green, 60), linewidth=1)
2019-06-24 03:00:00+01:00;AUDNZD;lower_high;1.0551;H1;plot(1.0551, color=color.new(color.green, 60), linewidth=1)
2019-06-20 03:00:00+01:00;AUDNZD;lower_low;1.04745;H1;plot(1.04745, color=color.new(color.green, 60), linewidth=1)
2019-06-14 21:00:00+01:00;AUDNZD;higher_high;1.05901;H1;plot(1.05901, color=color.new(color.green, 60), linewidth=1)
2019-06-13 22:00:00+01:00;AUDNZD;higher_low;1.04985;H1;plot(1.04985, color=color.new(color.green, 60), linewidth=1)
2019-06-12 02:00:00+01:00;AUDNZD;lower_high;1.05821;H1;plot(1.05821, color=color.new(color.green, 60), linewidth=1)
2019-06-07 21:00:00+01:00;AUDNZD;lower_low;1.04807;H1;plot(1.04807, color=color.new(color.green, 60), linewidth=1)
2019-05-31 15:00:00+01:00;AUDNZD;lower_high;1.06315;H1;plot(1.06315, color=color.new(color.green, 60), linewidth=1)
2019-05-30 22:00:00+01:00;AUDNZD;higher_low;1.05866;H1;plot(1.05866, color=color.new(color.green, 60), linewidth=1)
2019-05-30 08:00:00+01:00;AUDNZD;higher_high;1.06327;H1;plot(1.06327, color=color.new(color.green, 60), linewidth=1)
2019-05-24 13:00:00+01:00;AUDNZD;lower_low;1.05463;H1;plot(1.05463, color=color.new(color.green, 60), linewidth=1)
2019-05-22 21:00:00+01:00;AUDNZD;higher_high;1.05993;H1;plot(1.05993, color=color.new(color.green, 60), linewidth=1)
2019-05-21 07:00:00+01:00;AUDNZD;higher_low;1.05515;H1;plot(1.05515, color=color.new(color.green, 60), linewidth=1)
2019-05-20 08:00:00+01:00;AUDNZD;lower_high;1.05951;H1;plot(1.05951, color=color.new(color.green, 60), linewidth=1)
2019-05-17 21:00:00+01:00;AUDNZD;lower_low;1.05166;H1;plot(1.05166, color=color.new(color.green, 60), linewidth=1)
2019-05-10 02:00:00+01:00;AUDNZD;lower_high;1.0619;H1;plot(1.0619, color=color.new(color.green, 60), linewidth=1)
2019-05-09 15:00:00+01:00;AUDNZD;higher_low;1.05847;H1;plot(1.05847, color=color.new(color.green, 60), linewidth=1)
2019-05-08 03:00:00+01:00;AUDNZD;higher_high;1.07273;H1;plot(1.07273, color=color.new(color.green, 60), linewidth=1)
2019-05-06 04:00:00+01:00;AUDNZD;higher_low;1.05388;H1;plot(1.05388, color=color.new(color.green, 60), linewidth=1)
2019-04-30 23:00:00+01:00;AUDNZD;higher_high;1.06157;H1;plot(1.06157, color=color.new(color.green, 60), linewidth=1)
2019-04-30 22:00:00+01:00;AUDNZD;lower_low;1.05369;H1;plot(1.05369, color=color.new(color.green, 60), linewidth=1)
2019-04-29 17:00:00+01:00;AUDNZD;lower_high;1.05899;H1;plot(1.05899, color=color.new(color.green, 60), linewidth=1)
